        civ   win_rate
    Burmese  55.122614 vs 54.79178551055334
      Turks  54.511006 vs 54.595101971157945
      Goths  53.842403 vs 53.84846662657847
     Aztecs  52.983345 vs 52.24510588749
      Incas  52.739633 vs 53.39994449070219
      Celts  52.589175 vs 53.05676855895196
      Khmer  52.520497 vs 52.7502715134479
    Teutons  52.510556 vs 52.35573411249087 
      Slavs  51.955694 vs 51.654601861427096
     Franks  51.555889 vs 51.69045830202855
    Vikings  51.347882 vs 50.71386661451203
    Spanish  50.912328 vs 51.35838804618519
 Bulgarians  50.069735 vs 50.12858555885262
    Britons  49.445923 vs 49.39442874444893
Lithuanians  49.317336 vs 49.27037608257207
     Cumans  48.813220 vs 49.43887775551102
      Malay  48.364577 vs 48.289269051321924
     Mayans  48.330778 vs 48.67625185919683
   Italians  47.730769 vs 48.21705426356589
    Mongols  47.707066 vs 47.84996276991809
 Ethiopians  47.557252 vs 47.807610585281054
    Malians  47.153343 vs 47.601773478436115
    Chinese  47.150207 vs 46.67757104886526
 Byzantines  46.961084 vs 46.955441150363924
       Huns  46.680799 vs 46.792873051224944
 Vietnamese  46.502237 vs 46.76781002638523
    Indians  46.233010 vs 45.95015576323988
   Japanese  45.907028 vs 46.06423173803527
 Portuguese  45.665428 vs 45.55815312682642
   Persians  45.062265 vs 45.11741122565865
    Koreans  44.799005 vs 44.28923582580115
    Berbers  43.218730 vs 42.757201646090536
   Saracens  43.131961 vs 42.95894129623346
     Tatars  42.050168 vs 41.75438596491228
    Magyars  42.015358 vs 42.54785064323816 
